Timestamp.abs;Timestamp.first;Timestamp.last;Sampling.min;Sampling.max;Any flag;Fault A flag;Fault B flag;Temperature;Humidity;Gate A.Top.mean;Gate A.Top.std;Gate A.Base.mean;Gate A.Base.std;Gate A.AI Freq mean;Gate A.AI Freq std;Gate A.Flags sum;Gate B.Top.mean;Gate B.Top.std;Gate B.Base.mean;Gate B.Base.std;Gate B.AI Freq mean;Gate B.AI Freq std;Gate B.Flags sum;Fault A.Pulse Width.max;Fault A.Pulse Width.min;Fault B.Pulse Width.max;Fault B.Pulse Width.min;Voltage.mean;Voltage.std;Current.mean;Current.std
2024-09-03 09:34:50.163;0.0000000;1.1499900;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.495397;50.500000;14.814601;540.50302m;-3.1537508;143.55792m;10.000114k;547.55396m;0.0000000;15.102222;478.12342m;-3.1033673;144.38570m;10.000132k;631.85569m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.858809;388.69822u;329.90116m;18.172709u
2024-09-03 09:34:51.271;1.1500000;16.749990;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.578719;50.600000;14.842654;564.81279m;-3.1606029;135.51815m;10.000095k;502.56100m;0.0000000;15.057318;563.32720m;-3.1084965;133.02973m;10.000100k;533.07602m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.857505;904.94810u;329.84180m;41.103835u
2024-09-03 09:35:06.871;16.750000;32.299990;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.718117;50.300000;14.839062;568.61498m;-3.1534906;134.93081m;10.000100k;502.63587m;0.0000000;15.054952;564.25673m;-3.1020625;132.60874m;10.000110k;555.30809m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.855235;797.37416u;329.70294m;87.071869u
2024-09-03 09:35:22.421;32.300000;47.899990;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.760489;50.400000;14.839899;566.22721m;-3.1486904;134.36533m;10.000101k;508.88836m;0.0000000;15.057308;574.71751m;-3.0993972;131.23429m;10.000109k;547.06225m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.853238;786.12043u;329.48368m;29.975364u
2024-09-03 09:35:38.021;47.900000;63.499990;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.858782;50.500000;14.837676;562.88734m;-3.1439974;132.94159m;10.000102k;514.77343m;0.0000000;15.053813;553.84718m;-3.0951713;130.82114m;10.000104k;522.51197m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.851830;542.83539u;329.41854m;48.816112u
2024-09-03 09:35:53.621;63.500000;79.049990;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.871069;50.300000;14.837430;564.75093m;-3.1395773;132.61355m;10.000103k;520.68490m;0.0000000;15.054153;557.62132m;-3.0919280;130.40302m;10.000103k;516.60483m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.851785;528.52023u;329.33024m;33.790451u
2024-09-03 09:36:09.171;79.050000;94.799990;100.00000k;100.00000k;FALSE;FALSE;FALSE;29.032849;50.100000;14.839229;570.62193m;-3.1370066;131.39951m;10.000107k;519.30809m;0.0000000;15.052198;563.30656m;-3.0892022;129.05102m;10.000114k;547.81735m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.851976;542.85437u;329.25307m;51.599666u
2024-09-03 09:36:24.921;94.800000;110.34999;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.965584;50.100000;14.825649;571.86957m;-3.1306339;133.34283m;10.000101k;508.58426m;0.0000000;15.044932;558.50486m;-3.0851192;130.65443m;10.000108k;543.39359m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.851988;525.23780u;329.17315m;25.522247u
2024-09-03 09:36:40.471;110.35000;125.84999;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.984330;50.300000;14.834841;561.07418m;-3.1335186;133.76961m;10.000108k;544.22578m;0.0000000;15.052700;554.99123m;-3.0879612;131.91343m;10.000106k;528.90782m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.852169;517.86077u;329.10721m;21.355434u
2024-09-03 09:36:55.971;125.85000;141.39999;100.00000k;100.00000k;FALSE;FALSE;FALSE;29.018356;50.300000;14.836029;564.46566m;-3.1334661;130.87778m;10.000118k;567.05114m;0.0000000;15.048610;556.98215m;-3.0854710;129.20136m;10.000112k;538.20113m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.852349;529.06696u;329.08616m;12.697739u
