Timestamp.abs;Timestamp.first;Timestamp.last;Sampling.min;Sampling.max;Any flag;Fault A flag;Fault B flag;Temperature;Humidity;Gate A.Top.mean;Gate A.Top.std;Gate A.Base.mean;Gate A.Base.std;Gate A.AI Freq mean;Gate A.AI Freq std;Gate A.Flags sum;Gate B.Top.mean;Gate B.Top.std;Gate B.Base.mean;Gate B.Base.std;Gate B.AI Freq mean;Gate B.AI Freq std;Gate B.Flags sum;Fault A.Pulse Width.max;Fault A.Pulse Width.min;Fault B.Pulse Width.max;Fault B.Pulse Width.min;Voltage.mean;Voltage.std;Current.mean;Current.std
2024-07-24 13:36:43.161;0.0000000;1.0499900;100.00000k;100.00000k;TRUE;FALSE;FALSE;25.704930;39.400000;15.290589;683.13496m;-3.0225554;156.18426m;10.000000k;0.0000000;2.0000000;15.093888;596.62120m;-3.1618807;197.19289m;10.000000k;0.0000000;2.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.867085;4.4440005m;332.24200m;7.3874638u
2024-07-24 13:36:44.168;1.0500000;16.549990;100.00000k;100.00000k;FALSE;FALSE;FALSE;25.759067;39.600000;15.198017;605.62572m;-3.0618255;172.13923m;10.000094k;554.10235m;0.0000000;14.971430;578.82526m;-3.2046629;228.03042m;10.000096k;546.28147m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.865190;4.1699858m;332.16748m;46.665072u
2024-07-24 13:36:59.668;16.550000;32.099990;100.00000k;100.00000k;FALSE;FALSE;FALSE;25.804707;39.300000;15.172905;614.17896m;-3.0517780;174.47463m;10.000088k;513.84548m;0.0000000;14.949512;578.79022m;-3.1984734;230.93356m;10.000090k;526.56628m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.864149;4.1401511m;332.05106m;27.237332u
2024-07-24 13:37:15.218;32.100000;47.699990;100.00000k;100.00000k;FALSE;FALSE;FALSE;25.864826;39.500000;15.190658;613.61011m;-3.0490313;172.75447m;10.000085k;534.20552m;0.0000000;14.972362;574.86607m;-3.1919002;229.35342m;10.000069k;429.12061m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863396;4.1866629m;332.02140m;76.527474u
2024-07-24 13:37:30.818;47.700000;63.199990;100.00000k;100.00000k;FALSE;FALSE;FALSE;25.905274;39.400000;15.185452;627.22759m;-3.0464236;172.95574m;10.000085k;496.27314m;0.0000000;14.963365;587.07463m;-3.1865986;229.32623m;10.000083k;484.88451m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.862584;4.2010523m;331.89649m;32.729522u
2024-07-24 13:37:46.318;63.200000;78.649990;100.00000k;100.00000k;FALSE;FALSE;FALSE;25.791015;40.200000;15.184176;626.78181m;-3.0407619;168.26315m;10.000087k;507.51427m;0.0000000;14.960702;588.66565m;-3.1738244;219.82821m;10.000083k;484.45925m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.861787;4.1384003m;331.89472m;17.578326u
2024-07-24 13:38:01.768;78.650000;94.099990;100.00000k;100.00000k;FALSE;FALSE;FALSE;25.784090;39.800000;15.186848;613.72380m;-3.0458590;169.39251m;10.000093k;544.58141m;0.0000000;14.959701;582.45655m;-3.1763431;224.29925m;10.000087k;512.66329m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.861555;4.0952236m;331.84898m;20.177115u
2024-07-24 13:38:17.218;94.100000;109.64999;100.00000k;100.00000k;FALSE;FALSE;FALSE;25.819815;39.700000;15.176858;619.08784m;-3.0407615;172.98262m;10.000098k;571.23432m;0.0000000;14.955390;577.92159m;-3.1738454;226.16037m;10.000082k;481.97379m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.861526;4.1513492m;331.76552m;42.597778u
2024-07-24 13:38:32.768;109.65000;125.19999;100.00000k;100.00000k;FALSE;FALSE;FALSE;25.840589;40.100000;15.180567;607.14460m;-3.0411954;171.29748m;10.000089k;520.75290m;0.0000000;14.956221;578.35766m;-3.1757490;227.25080m;10.000085k;498.69139m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.861636;4.1674048m;331.72932m;17.500468u
2024-07-24 13:38:48.318;125.20000;140.74999;100.00000k;100.00000k;FALSE;FALSE;FALSE;25.880092;40.200000;15.180284;608.06904m;-3.0436835;173.58613m;10.000086k;485.06769m;0.0000000;14.955143;576.50957m;-3.1747035;228.79190m;10.000081k;474.45138m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.861758;4.1329827m;331.70697m;23.105487u
