"Version",5
"Author","Adrian Orastean"
"Date",#2024-09-04 12:30:23#
"Product","2SP0215F2Q1C-GD1000HFA120C6S"
"Mandatory","CTQ","Fail Group","Test Number 1","Test Number 2","Test Name","Spec ID","Test Mode","Low Limit","Expected Value","Max Limit","Unit","Tolerance","BOM ID","MFG PN","Test Type","Test Point A","Test Point B","Test Point C","Test Point D","Voltage","Current","Frequency","Treshold Level CHA","Treshold Level CHB","Samples","Setup Delay","Range Delay","Error Text","Test Description"
1,0,0,"001","010","HW - Identification","HW_ID","EQ",1,1,2,"N/A",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"001","020","HW - Serial Number","HW_SN","GELE",276,276,276,"N/A",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"002","070","CUST - Serial Number Length","CUST_SN_L","GELE",11.9,11,12.1,"N/A",.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"002","080","CUST - Serial Number Quality","CUST_SN_Q","GELE",3.9,4,4.1,"N/A",.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"003","010","ICT Pretest - UUT VCC1-GND Capacitance Discharge","DISCH_VCC1_GND","GELE",10,11,12,"N/A",.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"003","020","ICT Pretest - UUT VCC2-GND Capacitance Discharge","DISCH_VCC2_GND","GELE",10,11,12,"N/A",.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"003","030","ICT Pretest - UUT VISO1-VEE1 Capacitance Discharge","DISCH_VISO1_VEE1","GELE",10,11,12,"N/A",.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"003","040","ICT Pretest - UUT VEE1-COM1 Capacitance Discharge","DISCH_VEE1_COM1","GELE",10,11,12,"N/A",.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"003","050","ICT Pretest - UUT VISO2-VEE2 Capacitance Discharge","DISCH_VISO2_VEE2","GELE",10,11,12,"N/A",.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"003","060","ICT Pretest - UUT VEE2-COM2 Capacitance Discharge","DISCH_VEE2_COM2","GELE",10,11,12,"N/A",.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"004","010","ICT Pretest - UUT Contact Test","CONTACT_TEST","GELE",10,11,12,"N/A",.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"005","010","ICT Pretest - UUT Short Test","SHORT_TEST","GELE",10,11,12,"N/A",.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,0,"006","010","ICT Pretest - UUT Open Test","OPEN_TEST","GELE",10,11,12,"N/A",.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1,0,1,"010","010","ICT - Resistance R100","R100","GELE",2328,2400,2472,"Ohm",.03,"SPA-RES-0002","AC0603FR-0727KL","2-Wire Resistance Measurement","TP107","TP109","NA","NA",.1,100,"NA","NA","NA",1,1,1,"Resistance Measurement - R100","Replace R100"
